ID,Title,Difficulty,Language,Tags,URL,Date Solved
0001,Two Sum,Easy,Python 3,Array; Hash Table,https://leetcode.com/problems/two-sum/,2026-07-10
0002,Add Two Numbers,Medium,Python 3,Linked List; Math; Recursion,https://leetcode.com/problems/add-two-numbers/,2025-09-15
0004,Median of Two Sorted Arrays,Hard,Python 3,Array; Binary Search; Divide and Conquer,https://leetcode.com/problems/median-of-two-sorted-arrays/,2025-09-15
0007,Reverse Integer,Medium,Python 3,Math,https://leetcode.com/problems/reverse-integer/,2025-06-10
0009,Palindrome Number,Easy,Python,Math,https://leetcode.com/problems/palindrome-number/,2025-09-15
0012,Integer to Roman,Medium,Java,Hash Table; Math; String,https://leetcode.com/problems/integer-to-roman/,2025-09-15
0013,Roman to Integer,Easy,Python 3,Hash Table; Math; String,https://leetcode.com/problems/roman-to-integer/,2025-09-15
0014,Longest Common Prefix,Easy,Python 3,Array; String; Trie,https://leetcode.com/problems/longest-common-prefix/,2025-09-15
0017,Letter Combinations of a Phone Number,Medium,Python 3,Hash Table; String; Backtracking,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,2025-09-15
0020,Valid Parentheses,Easy,Python 3,String; Stack,https://leetcode.com/problems/valid-parentheses/,2025-09-15
0021,Merge Two Sorted Lists,Easy,Python 3,Linked List; Recursion,https://leetcode.com/problems/merge-two-sorted-lists/,2025-09-15
0026,Remove Duplicates from Sorted Array,Easy,Python 3,Array; Two Pointers,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,2025-09-15
0027,Remove Element,Easy,Python 3,Array; Two Pointers,https://leetcode.com/problems/remove-element/,2025-09-15
0028,Find the Index of the First Occurrence in a String,Easy,Python 3,Two Pointers; String; String Matching,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,2025-09-15
0035,Search Insert Position,Easy,Python 3,Array; Binary Search,https://leetcode.com/problems/search-insert-position/,2025-09-15
0043,Multiply Strings,Medium,Python 3,Math; String; Simulation,https://leetcode.com/problems/multiply-strings/,2025-09-15
0048,Rotate Image,Medium,Python 3,Array; Math; Matrix,https://leetcode.com/problems/rotate-image/,2025-09-15
0053,Maximum Subarray,Medium,Python 3,Array; Divide and Conquer; Dynamic Programming,https://leetcode.com/problems/maximum-subarray/,2025-10-08
0058,Length of Last Word,Easy,Python 3,String,https://leetcode.com/problems/length-of-last-word/,2025-09-15
0067,Add Binary,Easy,Python 3,Math; String; Bit Manipulation; Simulation,https://leetcode.com/problems/add-binary/,2025-09-16
0083,Remove Duplicates from Sorted List,Easy,Python 3,Linked List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,2025-09-16
0088,Merge Sorted Array,Easy,Python 3,Array; Two Pointers; Sorting,https://leetcode.com/problems/merge-sorted-array/,2025-09-16
0094,Binary Tree Inorder Traversal,Easy,Python 3,Stack; Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/,2025-07-11
0100,Same Tree,Easy,Python 3,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/same-tree/,2025-09-16
0104,Maximum Depth of Binary Tree,Easy,Python 3,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,2025-07-11
0110,Balanced Binary Tree,Easy,Python 3,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,2025-09-16
0111,Minimum Depth of Binary Tree,Easy,Python 3,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,2025-09-16
0122,Best Time to Buy and Sell Stock II,Medium,Python 3,Array; Dynamic Programming; Greedy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,2025-10-08
0125,Valid Palindrome,Easy,Python 3,Two Pointers; String,https://leetcode.com/problems/valid-palindrome/,2025-09-16
0136,Single Number,Easy,Python 3,Array; Bit Manipulation,https://leetcode.com/problems/single-number/,2025-09-16
0144,Binary Tree Preorder Traversal,Easy,Python 3,Stack; Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-preorder-traversal/,2025-07-11
0145,Binary Tree Postorder Traversal,Easy,Python 3,Stack; Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-postorder-traversal/,2025-07-11
0155,Min Stack,Medium,Python 3,Stack; Design,https://leetcode.com/problems/min-stack/,2025-07-03
0179,Largest Number,Medium,Python 3,Array; String; Greedy; Sorting,https://leetcode.com/problems/largest-number/,2025-09-16
0202,Happy Number,Easy,Python 3,Hash Table; Math; Two Pointers,https://leetcode.com/problems/happy-number/,2025-09-16
0203,Remove Linked List Elements,Easy,Python 3,Linked List; Recursion,https://leetcode.com/problems/remove-linked-list-elements/,2025-09-16
0206,Reverse Linked List,Easy,Python 3,Linked List; Recursion,https://leetcode.com/problems/reverse-linked-list/,2025-09-16
0258,Add Digits,Easy,Python 3,Math; Simulation; Number Theory,https://leetcode.com/problems/add-digits/,2025-06-10
0292,Nim Game,Easy,Python 3,Math; Brainteaser; Game Theory,https://leetcode.com/problems/nim-game/,2025-06-10
0367,Valid Perfect Square,Easy,Python 3,Math; Binary Search,https://leetcode.com/problems/valid-perfect-square/,2025-09-16
0414,Third Maximum Number,Easy,Python 3,Array; Sorting,https://leetcode.com/problems/third-maximum-number/,2025-09-16
0496,Next Greater Element I,Easy,Python 3,Array; Hash Table; Stack; Monotonic Stack,https://leetcode.com/problems/next-greater-element-i/,2025-07-03
0507,Perfect Number,Easy,Python 3,Math,https://leetcode.com/problems/perfect-number/,2025-09-16
0509,Fibonacci Number,Easy,Python 3,Math; Dynamic Programming; Recursion; Memoization,https://leetcode.com/problems/fibonacci-number/,2025-09-16
0541,Reverse String II,Easy,Python 3,Two Pointers; String,https://leetcode.com/problems/reverse-string-ii/,2025-09-16
0557,Reverse Words in a String III,Easy,Python 3,Two Pointers; String,https://leetcode.com/problems/reverse-words-in-a-string-iii/,2025-07-02
0692,Top K Frequent Words,Medium,Python 3,Array; Hash Table; String; Trie; Sorting; Heap (Priority Queue); Bucket Sort; Counting,https://leetcode.com/problems/top-k-frequent-words/,2026-07-06
0700,Search in a Binary Search Tree,Easy,Python 3,Tree; Binary Search Tree; Binary Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,2025-07-11
0796,Rotate String,Easy,Python 3,String; String Matching,https://leetcode.com/problems/rotate-string/,2026-07-07
0804,Unique Morse Code Words,Easy,Python 3,Array; Hash Table; String,https://leetcode.com/problems/unique-morse-code-words/,2026-07-07
0824,Goat Latin,Easy,Python 3,String,https://leetcode.com/problems/goat-latin/,2026-07-07
1025,Divisor Game,Easy,Python 3,Math; Dynamic Programming; Brainteaser; Game Theory,https://leetcode.com/problems/divisor-game/,2025-06-10
1071,Greatest Common Divisor of Strings,Easy,Python 3,Math; String,https://leetcode.com/problems/greatest-common-divisor-of-strings/,2026-07-07
1108,Defanging an IP Address,Easy,Python 3,String,https://leetcode.com/problems/defanging-an-ip-address/,2026-07-07
1154,Day of the Year,Easy,Python 3,Math; String,https://leetcode.com/problems/day-of-the-year/,2026-07-07
1260,Shift 2D Grid,Easy,Python 3,Array; Matrix; Simulation,https://leetcode.com/problems/shift-2d-grid/,2025-09-22
1374,Generate a String With Characters That Have Odd Counts,Easy,Python 3,String,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/,2026-07-07
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Easy,Python 3,Two Pointers; String; String Matching,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/,2026-07-07
1464,Maximum Product of Two Elements in an Array,Easy,Python 3,Array; Sorting; Heap (Priority Queue),https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/,2026-07-06
1544,Make The String Great,Easy,Python 3,String; Stack,https://leetcode.com/problems/make-the-string-great/,2026-07-07
1662,Check If Two String Arrays are Equivalent,Easy,Python 3,Array; String,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/,2026-07-07
1672,Richest Customer Wealth,Easy,Python 3,Array; Matrix,https://leetcode.com/problems/richest-customer-wealth/,2025-09-17
1684,Count the Number of Consistent Strings,Easy,Python 3,Array; Hash Table; String; Bit Manipulation; Counting,https://leetcode.com/problems/count-the-number-of-consistent-strings/,2026-07-07
1688,Count of Matches in Tournament,Easy,Python 3,Math; Simulation,https://leetcode.com/problems/count-of-matches-in-tournament/,2025-06-10
1796,Second Largest Digit in a String,Easy,Python 3,Hash Table; String,https://leetcode.com/problems/second-largest-digit-in-a-string/,2026-07-07
1935,Maximum Number of Words You Can Type,Easy,Python 3,Hash Table; String,https://leetcode.com/problems/maximum-number-of-words-you-can-type/,2025-09-15
2022,Convert 1D Array Into 2D Array,Easy,Python 3,Array; Matrix; Simulation,https://leetcode.com/problems/convert-1d-array-into-2d-array/,2025-09-17
2119,A Number After a Double Reversal,Easy,Python 3,Math,https://leetcode.com/problems/a-number-after-a-double-reversal/,2025-06-10
2133,Check if Every Row and Column Contains All Numbers,Easy,Python 3,Array; Hash Table; Matrix,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers/,2025-09-17
2235,Add Two Integers,Easy,Python 3,Math,https://leetcode.com/problems/add-two-integers/,2025-06-10
2413,Smallest Even Multiple,Easy,Python 3,Math; Number Theory,https://leetcode.com/problems/smallest-even-multiple/,2025-06-10
2427,Number of Common Factors,Easy,Python 3,Math; Enumeration; Number Theory,https://leetcode.com/problems/number-of-common-factors/,2025-07-21
2481,Minimum Cuts to Divide a Circle,Easy,Python 3,Math; Geometry,https://leetcode.com/problems/minimum-cuts-to-divide-a-circle/,2025-06-10
2652,Sum Multiples,Easy,Python 3,Math,https://leetcode.com/problems/sum-multiples/,2025-07-21
